13A,CA,538,2,1310,2620,LMX,M,2.43,772,03/11/2018
13B,CA,670,1,1310,1310,LMX,M,1.96,640,03/11/2018
13C,CA,620,1,1450,1450,LMX,M,2.34,830,03/11/2018
13D,CA,595,1,1380,1380,LMX,M,2.32,785,03/11/2018
13E,CA,495,1,1180,1180,LMX,M,2.38,685,03/11/2018
13H,CA,585,1,1350,1350,CHX,M,2.31,765,03/11/2018
13J,CA,550,1,1260,1260,CHX,M,2.29,710,03/11/2018
14A,CA,455,2,970,1940,BBX,M,2.13,515,03/11/2018
14B,CA,475,2,740,1480,FR,M,1.56,265,03/11/2018
14C,CA,465,1,1010,1010,LMX,M,2.17,545,03/11/2018
14D,CA,410,1,905,905,LMX,M,2.21,495,03/11/2018
14T,CA,510,1,1270,1270,CHX,M,2.49,760,03/11/2018
15,CA,455,1,780,780,HEX,M,1.71,325,03/11/2018
15B,CA,620,1,1430,1430,LMX,M,2.31,810,03/11/2018
15C,CA,540,1,1120,1120,LM,M,2.07,580,03/11/2018
15D,CA,365,1,640,640,AAX,M,1.75,275,03/11/2018
16,CA,575,1,1380,1380,LMX,M,2.4,805,03/11/2018
16A,CA,595,1,1400,1400,CHX,M,2.35,805,03/11/2018
16B,CA,580,1,1340,1340,CH,M,2.31,760,03/11/2018
16C,CA,480,1,1240,1240,LMX,M,2.58,760,03/11/2018
16D,CA,590,1,1190,1190,AAX,M,2.02,600,03/11/2018
16E,CA,525,1,1270,1270,CHX,M,2.42,745,03/11/2018
17,CA,493,2,1230,2460,CH,M,2.49,737,03/11/2018
17A,CA,460,2,1170,2340,LMX,M,2.54,710,03/11/2018
17B,CA,460,1,1140,1140,CHX,M,2.48,680,03/11/2018
17C,CA,520,1,1170,1170,CHX,M,2.25,650,03/11/2018
17D,CA,480,2,1260,2520,CHX,M,2.63,780,03/11/2018
17T,CA,575,1,1150,1150,SHX,M,2,575,03/11/2018
17X,CA,600,1,700,700,FR,M,1.17,100,03/11/2018
18,CA,600,4,870,3480,HEX,M,1.45,270,03/11/2018
18A,CA,587,3,900,2700,LMX,M,1.53,313,03/11/2018
18B,CA,628,2,1230,2460,LMX,M,1.96,602,03/11/2018
18C,CA,615,1,1170,1170,SIX,M,1.9,555,03/11/2018
18D,CA,795,1,1460,1460,HEX,M,1.84,665,03/11/2018
19,CA,595,2,1120,2240,AAX,M,1.88,525,03/11/2018
19A,CA,600,3,1050,3150,AAX,M,1.75,450,03/11/2018
19B,CA,545,1,880,880,AAX,M,1.61,335,03/11/2018
19C,CA,730,2,1640,3280,LMX,M,2.25,910,03/11/2018
19D,CA,775,1,1800,1800,CHX,M,2.32,1025,03/11/2018
20,CA,515,1,1110,1110,LMX,M,2.16,595,03/11/2018
20A,CA,500,1,1190,1190,LMX,M,2.38,690,03/11/2018
20B,CA,460,1,1150,1150,SIX,M,2.5,690,03/11/2018
20C,CA,515,1,1130,1130,CHX,M,2.19,615,03/11/2018
20D,CA,543,2,1210,2420,LMX,M,2.23,667,03/11/2018
20E,CA,545,1,1250,1250,LM,M,2.29,705,03/11/2018
20H,CA,525,1,1090,1090,LMX,M,2.08,565,03/11/2018
20J,CA,490,1,1190,1190,CHX,M,2.43,700,03/11/2018
20T,CA,540,1,1160,1160,LMX,M,2.15,620,03/11/2018
21,CA,615,1,1380,1380,CHX,M,2.24,765,03/11/2018
21A,CA,565,1,1380,1380,SAX,M,2.44,815,03/11/2018
21B,CA,540,1,1290,1290,LMX,M,2.39,750,03/11/2018
21C,CA,570,1,1270,1270,LM,M,2.23,700,03/11/2018
21D,CA,610,1,1360,1360,LMX,M,2.23,750,03/11/2018
21E,CA,575,1,1230,1230,LMX,M,2.14,655,03/11/2018
21H,CA,550,1,1320,1320,LMX,M,2.4,770,03/11/2018
21J,CA,560,1,1190,1190,CHX,M,2.13,630,03/11/2018
21T,CA,602,2,1320,2640,SIX,M,2.19,718,03/11/2018
22,CA,505,1,1210,1210,LMX,M,2.4,705,03/11/2018
22A,CA,450,1,1000,1000,LM,M,2.22,550,03/11/2018
22B,CA,435,1,1040,1040,LMX,M,2.39,605,03/11/2018
22C,CA,490,1,1040,1040,LMX,M,2.12,550,03/11/2018
22D,CA,385,1,870,870,CHX,M,2.26,485,03/11/2018
22E,CA,425,1,1020,1020,LMX,M,2.4,595,03/11/2018
22H,CA,280,1,420,420,SHX,M,1.5,140,03/11/2018
22J,CA,315,1,460,460,SHX,M,1.46,145,03/11/2018
22R,CA,290,1,570,570,SHX,M,1.97,280,03/11/2018
22T,CA,270,1,490,490,SHX,M,1.81,220,03/11/2018
22X,CA,250,1,500,500,SHX,M,2,250,03/11/2018
22Y,CA,270,1,440,440,SHX,M,1.63,170,03/11/2018
23,CA,505,1,1190,1190,CHX,M,2.36,685,03/11/2018
23A,CA,350,1,840,840,CHX,M,2.4,490,03/11/2018
23B,CA,450,1,770,770,AAX,M,1.71,320,03/11/2018
23C,CA,545,1,1000,1000,HEX,M,1.83,455,03/11/2018
23H,CA,585,1,1410,1410,CHX,M,2.41,825,03/11/2018
23J,CA,545,1,1330,1330,LMX,M,2.44,785,03/11/2018
24,CA,540,2,1150,2300,LMX,M,2.13,610,03/11/2018
24H,CA,428,2,870,1740,AAX,M,2.03,442,03/11/2018
24J,CA,400,1,950,950,BBX,M,2.38,550,03/11/2018
1,CA,720,1,1140,1140,AAX,M,1.58,420,10/11/2018
1A,CA,690,1,1120,1120,AAX,M,1.62,430,10/11/2018
1B,CA,580,1,970,970,SAX,M,1.67,390,10/11/2018
1C,CA,685,1,1130,1130,HEX,M,1.65,445,10/11/2018
1D,CA,638,2,1000,2000,HEX,M,1.57,362,10/11/2018
1E,CA,655,1,1100,1100,HEX,M,1.68,445,10/11/2018
1H,CA,705,1,1250,1250,HEX,M,1.77,545,10/11/2018
1J,CA,660,1,1000,1000,MOX,M,1.52,340,10/11/2018
1T,CA,670,1,1030,1030,HEX,M,1.54,360,10/11/2018
2,CA,505,1,970,970,CHX,M,1.92,465,10/11/2018
2A,CA,530,1,1070,1070,LMX,M,2.02,540,10/11/2018
2B,CA,495,1,1090,1090,LMX,M,2.2,595,10/11/2018
2C,CA,365,1,730,730,CHX,M,2,365,10/11/2018
2D,CA,400,1,865,865,CHX,M,2.16,465,10/11/2018
2E,CA,585,1,1140,1140,CHX,M,1.95,555,10/11/2018
2H,CA,490,1,930,930,SIX,M,1.9,440,10/11/2018
2J,CA,470,1,940,940,SIX,M,2,470,10/11/2018
2R,CA,360,1,640,640,CH,M,1.78,280,10/11/2018
2T,CA,465,1,800,800,LMX,M,1.72,335,10/11/2018
2X,CA,450,1,1000,1000,LMX,M,2.22,550,10/11/2018
3,CA,515,2,1050,2100,LMX,M,2.04,535,10/11/2018
3A,CA,472,2,965,1930,AAX,M,2.04,493,10/11/2018
3B,CA,515,1,1120,1120,AAX,M,2.17,605,10/11/2018
3C,CA,545,1,1210,1210,CH,M,2.22,665,10/11/2018
3E,CA,460,1,800,800,SH,M,1.74,340,10/11/2018
4,CA,560,1,1050,1050,AAX,M,1.88,490,10/11/2018
4A,CA,545,2,1040,2080,AAX,M,1.91,495,10/11/2018
4J,CA,530,1,940,940,AAX,M,1.77,410,10/11/2018
4X,CA,590,1,980,980,FRX,M,1.66,390,10/11/2018
5,CA,480,1,1000,1000,LMX,M,2.08,520,10/11/2018
5A,CA,478,2,1000,2000,CHX,M,2.09,522,10/11/2018
5B,CA,500,1,810,810,AAX,M,1.62,310,10/11/2018
5BB,CA,500,1,820,820,AAX,M,1.64,320,10/11/2018
5C,CA,455,1,900,900,LMX,M,1.98,445,10/11/2018
6,CA,535,1,1070,1070,SIX,M,2,535,10/11/2018
6A,CA,475,1,1050,1050,SIX,M,2.21,575,10/11/2018
6B,CA,415,2,780,1560,SIX,M,1.88,365,10/11/2018
6C,CA,410,1,800,800,SIX,M,1.95,390,10/11/2018
6H,CA,452,2,1060,2120,CHX,M,2.35,608,10/11/2018
6J,CA,500,2,1070,2140,AAX,M,2.14,570,10/11/2018
6T,CA,365,1,700,700,LMX,M,1.92,335,10/11/2018
7D,CA,485,1,1000,1000,LMX,M,2.06,515,10/11/2018
7E,CA,540,1,1230,1230,CHX,M,2.28,690,10/11/2018
7H,CA,490,1,970,970,AAX,M,1.98,480,10/11/2018
7J,CA,475,1,1030,1030,CHX,M,2.17,555,10/11/2018
7R,CA,500,1,990,990,LMX,M,1.98,490,10/11/2018
7T,CA,425,1,740,740,SHX,M,1.74,315,10/11/2018
7X,CA,500,3,1060,3180,SAX,M,2.12,560,10/11/2018
7Y,CA,467,3,1020,3060,LMX,M,2.18,553,10/11/2018
