5X,CA,520,1,830,830,SHX,M,1.6,310,27/10/2018
6,CA,480,1,1210,1210,CHX,M,2.52,730,27/10/2018
6A,CA,410,1,1070,1070,CHX,M,2.61,660,27/10/2018
6B,CA,455,1,980,980,AAX,M,2.15,525,27/10/2018
6E,CA,470,1,1100,1100,LMX,M,2.34,630,27/10/2018
6H,CA,450,1,1050,1050,CHX,M,2.33,600,27/10/2018
6J,CA,465,1,1140,1140,CHX,M,2.45,675,27/10/2018
6T,CA,435,1,1010,1010,LMX,M,2.32,575,27/10/2018
7,CA,640,1,1370,1370,CHX,M,2.14,730,27/10/2018
7A,CA,560,1,1290,1290,CHX,M,2.3,730,27/10/2018
7B,CA,590,1,1360,1360,LMX,M,2.31,770,27/10/2018
7C,CA,585,1,1330,1330,LMX,M,2.27,745,27/10/2018
7D,CA,550,1,1340,1340,CHX,M,2.44,790,27/10/2018
7E,CA,530,1,1250,1250,CHX,M,2.36,720,27/10/2018
8,CA,485,1,830,830,AAX,M,1.71,345,27/10/2018
8A,CA,470,1,970,970,AAX,M,2.06,500,27/10/2018
8B,CA,410,1,800,800,AAX,M,1.95,390,27/10/2018
8C,CA,450,1,820,820,AAX,M,1.82,370,27/10/2018
8D,CA,500,1,850,850,HEX,M,1.7,350,27/10/2018
9,CA,590,2,1310,2620,CHX,M,2.22,720,27/10/2018
9A,CA,585,1,1260,1260,CHX,M,2.15,675,27/10/2018
9B,CA,565,1,1200,1200,CHX,M,2.12,635,27/10/2018
9D,CA,475,2,1210,2420,CHX,M,2.55,735,27/10/2018
9E,CA,440,2,1210,2420,LMX,M,2.75,770,27/10/2018
9H,CA,465,2,1150,2300,CHX,M,2.47,685,27/10/2018
9J,CA,510,2,1200,2400,LMX,M,2.35,690,27/10/2018
10,CA,535,1,1250,1250,CHX,M,2.34,715,27/10/2018
10A,CA,500,1,1170,1170,CHX,M,2.34,670,27/10/2018
10B,CA,520,1,1260,1260,CHX,M,2.42,740,27/10/2018
10C,CA,520,1,1280,1280,LMX,M,2.46,760,27/10/2018
10D,CA,475,1,1210,1210,LMX,M,2.55,735,27/10/2018
10E,CA,520,1,1230,1230,CHX,M,2.37,710,27/10/2018
11,CA,482,2,1240,2480,LMX,M,2.57,758,27/10/2018
11A,CA,505,3,1260,3780,CHX,M,2.5,755,27/10/2018
11J,CA,475,1,1130,1130,CHX,M,2.38,655,27/10/2018
11T,CA,490,2,1250,2500,CHX,M,2.55,760,27/10/2018
11X,CA,470,1,1120,1120,CHX,M,2.38,650,27/10/2018
12E,CA,680,1,1450,1450,CH,M,2.13,770,27/10/2018
12H,CA,660,1,1450,1450,LMX,M,2.2,790,27/10/2018
13,CA,520,1,1200,1200,CHX,M,2.31,680,27/10/2018
13A,CA,485,2,1220,2440,CHX,M,2.52,735,27/10/2018
13B,CA,467.5,2,1160,2320,CH,M,2.48,692.5,27/10/2018
13J,CA,440,1,990,990,LMX,M,2.25,550,27/10/2018
13T,CA,415,1,900,900,CHX,M,2.17,485,27/10/2018
