R Byrne,2018-2018,2,0,2,4,0,2,0,0,2,0,0,100
J Cronin,2015-2016,2,0,2,0,0,0,0,0,1,1,0,50
MPA McCarthy,2016-2016,2,2,0,0,0,0,0,0,0,1,1,25
J O'Donoghue,2016-2017,2,1,1,0,0,0,0,0,2,0,0,100
S Olding,2016-2016,2,2,0,0,0,0,0,0,0,2,0,0
S Reidy,2016-2017,2,0,2,5,1,0,0,0,1,1,0,50
DM Tuohy,2015-2015,2,1,1,0,0,0,0,0,2,0,0,100
N Adeolokun,2016-2016,1,0,1,0,0,0,0,0,1,0,0,100
SD Arnold,2018-2018,1,0,1,0,0,0,0,0,1,0,0,100
A Byrne,2017-2017,1,1,0,0,0,0,0,0,1,0,0,100
GW D'Arcy,2015-2015,1,1,0,0,0,0,0,0,1,0,0,100
M Healy,2016-2016,1,0,1,0,0,0,0,0,0,1,0,0
D Heffernan,2017-2017,1,0,1,0,0,0,0,0,1,0,0,100
B Holland,2016-2016,1,1,0,0,0,0,0,0,1,0,0,100
R O'Loughlin,2017-2017,1,0,1,0,0,0,0,0,1,0,0,100
